,country_name,city_name,measure,aqi_level,lat,lon
81,Greece,Menemeni,min_aqi,39,40.6562959,22.9092506
82,Malawi,Ntcheu,min_aqi,23,-14.83041285,34.765831629561944
83,Cuba,Perico,min_aqi,30,-24.3938068,-65.11528896134641
84,Saudi Arabia,Turayf,min_aqi,85,15.966667,32.55
85,Benin,Banikoara,min_aqi,30,11.32625415,2.473040680223342
86,Sierra Leone,Segbwema,min_aqi,18,7.996736,-10.949571
87,Lebanon,Jazzin,min_aqi,57,45.6494918,13.7663135
88,Uruguay,Young,min_aqi,11,33.1508315,-98.6962766
89,Namibia,Gobabis,min_aqi,19,-22.4495283,18.9724666
90,Albania,Korce,min_aqi,44,40.6158967,20.7772187
91,Guyana,Georgetown,min_aqi,27,6.8137426,-58.1624465
92,Senegal,Kedougou,min_aqi,29,12.5570752,-12.1855655
93,Lesotho,Hlotse,min_aqi,55,-28.866891,28.0579408
94,Mongolia,Baruun Urt,min_aqi,32,46.6807672,113.2845525
95,Venezuela,Ciudad Bolivar,min_aqi,27,8.1028532,-63.5469562
96,Solomon Islands,Honiara,min_aqi,18,-9.4310769,159.9552552
97,Paraguay,Ayolas,min_aqi,14,-27.3898739,-56.844718
98,Zimbabwe,Rusape,min_aqi,17,-18.5334765,32.1256769
99,Austria,Bischofshofen,min_aqi,26,47.4168029,13.2170933
100,Croatia,Karlovac,min_aqi,31,45.4892522,15.5486303
101,Honduras,Yoro,min_aqi,16,15.2994474,-87.29169807731974
102,Cambodia,Kampong Chhnang,min_aqi,21,12.1382025,104.3354098
103,Uganda,Lukaya,min_aqi,39,-11.8364611,23.9245547
104,Moldova,Dubasari,min_aqi,34,47.31541525,29.12083841493117
105,Angola,Ondjiva,min_aqi,20,-17.0705234,15.7280115
106,Kingdom of Eswatini,Manzini,min_aqi,75,-26.4976444,31.3750815
107,Afghanistan,Deh Rawud,min_aqi,49,32.583601,65.465591
108,Uzbekistan,Gurlan,min_aqi,60,41.8447222,60.3898845
109,Zambia,Nakonde,min_aqi,19,-9.3314463,32.7547861
110,Morocco,Azimur,min_aqi,27,59.276396,-138.4730724
111,Belarus,Hrodna,min_aqi,31,53.6834599,23.8342648
112,Norway,Mo I Rana,min_aqi,25,66.3110969,14.1386991
113,Malta,Sliema,min_aqi,39,35.9127609,14.5020708
114,Rwanda,Cyangugu,min_aqi,56,-2.4887775,28.8958127
115,Sri Lanka,Galle,min_aqi,41,6.0328139,80.214955
116,Botswana,Ghanzi,min_aqi,15,-21.6968123,21.6457062
117,Burundi,Makamba,min_aqi,39,-4.1978315,29.8073996
118,Jamaica,Port Antonio,min_aqi,41,18.175168,-76.4474201
119,Central African Republic,Obo,min_aqi,26,12.2111051,43.1685809
120,Kenya,Wajir,min_aqi,20,1.6672539,39.6663742966066
121,Niger,Say,min_aqi,31,13.1024623,2.3626379
122,Mali,Niono,min_aqi,22,14.7035,-6.006020833333334
123,Slovenia,Ljubljana,min_aqi,31,46.0500268,14.5069289
124,Costa Rica,Liberia,min_aqi,28,5.7499721,-9.3658524
125,Nicaragua,Camoapa,min_aqi,19,12.3844531,-85.5126428
126,South Korea,Seoul,min_aqi,421,37.5666791,126.9782914
127,Burkina Faso,Boromo,min_aqi,26,11.7447567,-2.9300274
128,Cabo Verde,Mindelo,min_aqi,36,16.8873057,-24.9864064
129,Mozambique,Chokwe,min_aqi,19,-24.4884622,32.85997680915883
130,Mauritania,Nouadhibou,min_aqi,157,20.9127045,-17.0503094
131,Guinea-Bissau,Bafata,min_aqi,109,12.1723403,-14.6555027
132,United Arab Emirates,Dubai,min_aqi,152,25.2653471,55.2924914
133,Eritrea,Addi Ugri,min_aqi,75,14.8864381,38.80059134818357
134,Tajikistan,Tugalan,min_aqi,75,40.0853628,65.5212799
135,Barbados,Bridgetown,min_aqi,73,13.0977832,-59.6184184
136,Algeria,Aflu,min_aqi,36,-10.7862905,13.9515976
137,Iraq,Panjwin,min_aqi,55,41.1796147,122.0524321
138,Syria,Idlib,min_aqi,56,35.9301902,36.6352596
139,Gabon,Oyem,min_aqi,40,1.5997904,11.5751003
140,Liberia,Zwedru,min_aqi,17,6.068724,-8.1342735
141,Laos,Luang Prabang,min_aqi,23,19.901400600000002,102.1681717615433
142,Bhutan,Punakha,min_aqi,21,27.58214055,89.86303167109001
143,Yemen,Aden,min_aqi,81,12.789585,45.028504
144,Togo,Mango,min_aqi,40,44.686443,8.150239
145,Turkmenistan,Gazojak,min_aqi,55,41.189246,61.4059698
146,Saint Lucia,Castries,min_aqi,79,14.0095966,-60.9902359
147,Kuwait,Hawalli,min_aqi,161,29.323660850000003,48.11531483531321
148,Libya,Tubruq,min_aqi,44,16.34506,43.377141
149,Georgia,Khoni,min_aqi,31,42.3245517,42.4221702
150,Nepal,Khandbari,min_aqi,34,27.3666794,87.20679989776897
151,Estonia,Maardu,min_aqi,23,59.468192,24.9896751
152,Trinidad and Tobago,Chaguanas,min_aqi,59,10.5147394,-61.4076757
153,Jordan,Wadi Musa,min_aqi,68,24.270078,56.0637401
